"Reference","Value"
"C1,C2,C11,C12","10uF"
"C3,C6,C7,C8,C9,C10,C15","100nF"
"C4,C5","22nF"
"C13,C14","15pF"
"D1,D2","LED"
"D3","SS14"
"J1","USB-TYPE-C-008"
"J2","Bateria"
"J3","OLED SSD1306"
"J4","TTP223"
"J5","UART"
"J6","ULTRASONIDO"
"L1","10u 2A 4x4mm"
"L2","220uH D7.8xL5.5"
"Q1","AO3400A"
"R1,R2,R6,R7","1kΩ"
"R3","1.2kΩ"
"R4","3.3kΩ"
"R5,R9,R11,R12","10kΩ"
"R8","75kΩ"
"R10","10Ω"
"SW1,SW2,SW3","SW_SPST"
"TH2","Thermistor_NTC_US"
"U1","TP4056"
"U2","MT3608"
"U3","AMS1117"
"U4","ESP32-C3FH4"
"U5","TC4427xOA"
"X1","40MHz, 15pF"
